id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height,source
428,Striae 39,"Natural stone washbasin in circular, square, oval and pedestal versions. Available in beige or black, it stands out for the marked texture of its surface and its aesthetic forcefulness.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Length: 390mm | Width: 390mm | High: 150mm,,Natural stone,,,,390 mm,390 mm,150 mm,bathco
429,Striae,"Natural stone washbasin in circular, square, oval and pedestal versions. Available in beige or black, it stands out for the marked texture of its surface and its aesthetic forcefulness.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 380mm | High: 150mm,,Natural stone,,,380 mm,,,150 mm,bathco
430,Pemba,"Natural stone circular washbasins in beige, dark gray and doreng finishes. Each version highlights the shades of the rock, providing an organic and timeless air.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 350mm | High: 100mm,,Natural stone,,,350 mm,,,100 mm,bathco
431,Papua A,"Natural stone washbasins in beige and doreng tones, available with or without wooden base. Their circular shape and organic character make them compatible with metal pedestals, creating compositions of great aesthetic strength.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 360mm | High: 175mm,,Natural stone,,,360 mm,,,175 mm,bathco
432,Icono,"Circular washbasin in natural stone, available in black or beige tones. A countertop piece that enhances the strength of the material in its purest state.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 400mm | High: 100mm,,Natural stone,,,400 mm,,,100 mm,bathco
433,Classic Cuadrado,"Classic Cuadrado Grey es un lavabo cuadrado de instalación sobre encimera, fabricado en piedra con acabado relieve en color grey",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Length: 385mm | Width: 385mm | High: 135mm,,Sanitary ware,,,,385 mm,385 mm,135 mm,bathco
434,Classic Rectangular,"Classic Rectangular Grey es un lavabo rectangular de instalación sobre encimera, fabricado en piedra con acabado relieve en color grey",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Length: 500mm | Width: 350mm | High: 130mm,,Sanitary ware,,,,500 mm,350 mm,130 mm,bathco
435,Classic Circular,"Classic Circular Grey es un lavabo circular de instalación sobre encimera, fabricado en piedra con acabado relieve en color grey",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 380mm | High: 130mm,,Sanitary ware,,,380 mm,,,130 mm,bathco
436,Boracay,"Boracay Beige es un lavabo circular de instalación sobre encimera, fabricado en piedra con acabado relieve en color beige",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 450mm | High: 900mm,,Sanitary ware,,,450 mm,,,900 mm,bathco
437,Ticao Circular,"Ticao Circular es un lavabo circular de instalación sobre encimera, fabricado en piedra con acabado relieve en color beige",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 430mm | High: 140mm,,Sanitary ware,,,430 mm,,,140 mm,bathco
438,Ticao Cuadrado,"Ticao Cuadrado es un lavabo de instalación sobre encimera, fabricado en piedra con acabado relieve en color beige",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Length: 430mm | Width: 430mm | High: 140mm,,Sanitary ware,,,,430 mm,430 mm,140 mm,bathco
439,Morella,"Series of natural stone washbasins, available in circular, square or oval format. All in beige finish, they transmit sobriety and simplicity.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 380mm | High: 135mm,,Natural stone,,,380 mm,,,135 mm,bathco
440,Morella cuadrado,"Series of natural stone washbasins, available in circular, square or oval format. All in beige finish, they transmit sobriety and simplicity.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Length: 385mm | Width: 385mm | High: 135mm,,Natural stone,,,,385 mm,385 mm,135 mm,bathco
441,Morella oval,"Series of natural stone washbasins, available in circular, square or oval format. All in beige finish, they transmit sobriety and simplicity.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Length: 520mm | Width: 370mm | High: 135mm,,Natural stone,,,,520 mm,370 mm,135 mm,bathco
442,Papua C,"Natural stone washbasins in beige and doreng tones, available with or without wooden base. Their circular shape and organic character make them compatible with metal pedestals, creating compositions of great aesthetic strength.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 360mm | High: 130mm,,Natural stone,,,360 mm,,,130 mm,bathco
443,Papua,"Natural stone washbasins in beige and doreng tones, available with or without wooden base. Their circular shape and organic character make them compatible with metal pedestals, creating compositions of great aesthetic strength.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 360mm | High: 175mm,,Natural stone,,,360 mm,,,175 mm,bathco
444,Mimika C,"Circular washbasin in natural stone. Available in beige or doreng finishes, it combines mineral solidity with organic warmth. For countertop installation.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 380mm | High: 130mm,,Natural stone,,,380 mm,,,130 mm,bathco
445,Mimika,"Circular washbasin in natural stone with wooden base. Available in beige or doreng finishes, it combines mineral solidity with organic warmth. For countertop installation.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 380mm | High: 175mm,,Natural stone,,,380 mm,,,175 mm,bathco
446,Mappi C,"Circular washbasins in natural stone, available in beige or doreng finishes. Its countertop design highlights the purity of the material.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 360mm | High: 130mm,,Natural stone,,,360 mm,,,130 mm,bathco
447,Mappi,"Circular washbasins in natural stone, available in beige or doreng finishes. Its countertop design highlights the purity of the material.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 360mm | High: 175mm,,Natural stone,,,360 mm,,,175 mm,bathco
448,Mauritius,"Rectangular washbasin in natural stone, bicolor in black and beige tones. A countertop design that conveys contrast and sophistication.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Length: 620mm | Width: 350mm | High: 120mm,,Natural stone,,,,620 mm,350 mm,120 mm,bathco
449,Gorea,"A circular washbasin in natural stone available in beige, dark gray and doreng tones. A countertop piece that conveys authenticity and mineral character.",sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 380mm | High: 80mm,,Natural stone,,,380 mm,,,80 mm,bathco
450,Duotono B,Natural stone in a circular design. A countertop washbasin that highlights the nobility of the material with essential aesthetics.,sanitare,LAVOARE,STONE,False,DE BLAT,Bathco,,,Countertop,Diameter: 410mm | High: 150mm,,Natural stone,,,410 mm,,,150 mm,bathco
451,Suances,Circular gray cement washbasin with concealed drain. A piece that combines sober design and industrial character.,sanitare,LAVOARE,Cement,False,DE BLAT,Bathco,,,Countertop,Diameter: 400mm | High: 150mm,,Sanitary ware,,,400 mm,,,150 mm,bathco
452,Parbayón,Cement or light terrazzo washbasins in square format. A strong design that highlights the presence of mineral materials on the countertop.,sanitare,LAVOARE,Cement,False,DE BLAT,Bathco,,,Countertop,Length: 500mm | Width: 500mm | High: 120mm,,Sanitary ware,,,,500 mm,500 mm,120 mm,bathco
453,Parbayón terrazzo,"Square design with contemporary aesthetics. The Parbayón terrazzo washbasin, made of terrazzo, is installed on the countertop and adds style to the bathroom. Without overflow and with faucet hole.",sanitare,LAVOARE,Cement,False,DE BLAT,Bathco,,,Countertop,Length: 500mm | Width: 500mm | High: 120mm,,Sanitary ware,,,,500 mm,500 mm,120 mm,bathco
454,Nestares,"Square washbasin in pigmented cement. Available in light gray, dark gray or tile. For countertop installation, it provides texture and an industrial character.",sanitare,LAVOARE,Cement,False,DE BLAT,Bathco,,,Countertop,Length: 400mm | Width: 400mm | High: 130mm,,Sanitary ware,,,,400 mm,400 mm,130 mm,bathco
455,Detroit alto,Acero inoxidable cepillado en formato alto. Un lavabo circular de sobre encimera con presencia arquitectónica y acabado técnico.,sanitare,LAVOARE,METALIC,False,DE BLAT,Bathco,,,Countertop,Diameter: 380mm | High: 380mm,,Sanitary ware,,,380 mm,,,380 mm,bathco
456,Detroit rectangular,Acero cepillado y líneas nítidas. Un rectangular de sobre encimera que equilibra resistencia y estética.,sanitare,LAVOARE,METALIC,False,DE BLAT,Bathco,,,Countertop,Length: 550mm | Width: 380mm | High: 120mm,,Sanitary ware,,,,550 mm,380 mm,120 mm,bathco
457,Detroit oval,Óvalo en acero cepillado para un trazo más suave. Un lavabo de sobre encimera que suma continuidad y brillo contenido.,sanitare,LAVOARE,METALIC,False,DE BLAT,Bathco,,,Countertop,Length: 550mm | Width: 350mm | High: 120mm,,Sanitary ware,,,,550 mm,350 mm,120 mm,bathco
458,Detroit cuadrado,Brushed finish and precise lines. A square countertop design that brings rigor and modernity.,sanitare,LAVOARE,METALIC,False,DE BLAT,Bathco,,,Countertop,Length: 400mm | Width: 400mm | High: 120mm,,Sanitary ware,,,,400 mm,400 mm,120 mm,bathco
459,Detroit circular,Circular format in brushed steel. A countertop design with a refined industrial reading.,sanitare,LAVOARE,METALIC,False,DE BLAT,Bathco,,,Countertop,Diameter: 380mm | High: 120mm,,Metal,,,380 mm,,,120 mm,bathco
460,Detroit Circular B,"Detroit Circular B Cepillado es un lavabo circular de instalación sobre encimera, fabricado en metálico en color acero cepillado",sanitare,LAVOARE,METALIC,False,DE BLAT,Bathco,,,Countertop,Diameter: 380mm | High: 100mm,,Sanitary ware,,,380 mm,,,100 mm,bathco
461,Hekla,"Hekla es un lavabo circular de instalación sobre encimera, fabricado en porcelana en color blanco",sanitare,LAVOARE,METALIC,False,DE BLAT,Bathco,,,Countertop,Diameter: 400mm | High: 450mm,,Sanitary ware,,,400 mm,,,450 mm,bathco
462,Dinan 38 Traquita,A hand-painted artisan piece that reinterprets the texture of trachyte stone. The circular porcelain countertop design adds warmth and character.,sanitare,LAVOARE,Porcelain,False,DE BLAT,Bathco,,,Countertop,Diameter: 380mm | High: 130mm,,Porcelain,,,380 mm,,,130 mm,bathco
463,Seceda Oval,"Seceda Oval es un lavabo oval de instalación sobre encimera, fabricado en solid surface en color blanco",sanitare,LAVOARE,Porcelain,False,DE BLAT,Bathco,,,Countertop,Length: 500mm | Width: 360mm | High: 150mm,,Sanitary ware,,,,500 mm,360 mm,150 mm,bathco
464,Seceda Cuadrado,"Seceda Cuadrado es un lavabo cuadrado de instalación sobre encimera, fabricado en solid surface en color blanco",sanitare,LAVOARE,Porcelain,False,DE BLAT,Bathco,,,Countertop,Length: 380mm | Width: 380mm | High: 150mm,,Sanitary ware,,,,380 mm,380 mm,150 mm,bathco
465,Seceda Circular,"Seceda Circular es un lavabo circular de instalación sobre encimera, fabricado en solid surface en color blanco",sanitare,LAVOARE,Porcelain,False,DE BLAT,Bathco,,,Countertop,Diameter: 360mm | High: 150mm,,Sanitary ware,,,360 mm,,,150 mm,bathco
